上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:105/10/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"006201","元大富櫃50","11.79","- 0.03 ","11.80","11.80","11.79","10,000","117,960","4","11.60","11.82","26,446,000","12.96","10.62"
"1258","其祥-KY","38.00","- 0.60 ","38.60","38.60","37.80","64,000","2,447,450","50","38.00","38.20","35,969,094","41.80","34.20"
"1259","安心","85.90","- 1.60 ","86.90","86.90","85.90","20,000","1,724,800","18","85.90","86.30","32,389,500","94.40","77.40"
"1264","德麥","194.50","+ 2.50 ","192.00","198.50","192.00","132,000","25,865,500","118","194.00","195.00","30,632,700","213.50","175.50"
"1336","台翰","8.72","- 0.17 ","8.82","8.89","8.71","132,000","1,157,980","62","8.71","8.85","62,753,230","9.59","7.85"
"1565","精華","736.00","- 7.00 ","746.00","746.00","732.00","124,000","91,397,000","114","736.00","737.00","50,416,516","809.00","663.00"
"1566","捷邦","19.55","+ 0.05 ","19.50","19.95","19.50","393,000","7,757,150","219","19.55","19.60","81,467,028","21.50","17.60"
"1569","濱川","21.25","- 0.95 ","22.25","22.30","21.00","1,431,000","30,887,800","809","21.15","21.25","93,784,745","23.35","19.15"
"1570","力肯","15.00","0.00 ","14.90","15.00","14.80","66,000","981,750","29","14.80","15.00","51,500,839","16.50","13.50"
"1580","新麥","149.00","- 2.00 ","151.00","156.00","149.00","567,000","86,665,000","452","148.50","149.50","48,531,634","163.50","134.50"
"1584","精剛","14.00","- 0.10 ","14.20","14.20","14.00","414,000","5,830,450","116","14.00","14.10","102,470,533","15.40","12.60"
"1586","和勤","22.40","+ 1.30 ","21.15","22.40","20.80","2,194,000","47,920,450","876","22.35","22.40","69,569,385","24.60","20.20"
"1591","駿吉-KY","32.80","- 0.05 ","32.50","32.85","32.20","125,000","4,084,100","17","32.15","32.65","30,149,825","36.05","29.55"
"1593","祺驊","39.20","+ 0.40 ","39.35","39.35","38.80","8,000","311,850","7","38.80","39.35","30,300,560","43.10","35.30"
"1595","川寶","42.90","- 0.25 ","43.20","43.20","42.50","16,000","685,450","9","42.55","42.85","40,621,820","47.15","38.65"
"1597","直得","36.30","- 0.75 ","36.95","37.00","36.15","234,000","8,556,300","133","36.30","36.50","62,045,489","39.90","32.70"
